Santiago,"-33.4376216,-70.6533973"
Antofagasta,"-23.6523609, -70.395401"
Vina del Mar,"-33.0245705, -71.5518265"
Valparaiso,"-33.0359993, -71.629631"
Talcahuano,"-36.7249413, -73.1168365"
Temuco,"-38.7396507, -72.5984192"
Iquique,"-20.2132607, -70.1502686"
Concepcion,"-36.8269882, -73.0497665"
Rancagua,"-34.1593915,-70.7737186"
Talca,"-35.4263992, -71.6554184"
Arica,"-18.4745998, -70.2979202"
Coquimbo,"-29.9533195, -71.3394699"
Puerto Montt,"-41.4692993, -72.9423676"
La Serena,"-29.9045296, -71.2489395"
Chillan,"-36.6066399, -72.1034393"
Calama,"-22.4566708, -68.9237137"
Osorno,"-40.5739517, -73.1334763"
Valdivia,"-39.8142204, -73.2458878"